,pdb_name,processed_path,num_chains,quaternary_category,seq_len,modeled_seq_len
40,1a91.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a91.a.pkl,1,homomer,79,79
41,1euv.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1euv.b.pkl,1,homomer,79,79
42,1dj8.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dj8.a.pkl,1,homomer,79,79
43,1dvh.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dvh.a.pkl,1,homomer,79,79
44,1exk.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1exk.a.pkl,1,homomer,79,79
45,1gt0.d,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gt0.d.pkl,1,homomer,79,79
46,1faf.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1faf.a.pkl,1,homomer,79,79
47,1fbn.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fbn.a.pkl,1,homomer,230,230
48,1iba.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1iba.a.pkl,1,homomer,78,78
49,1h3l.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1h3l.b.pkl,1,homomer,78,78
50,1bcc.g,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bcc.g.pkl,1,homomer,78,78
51,1fi8.c,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fi8.c.pkl,1,homomer,78,78
52,1gks.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gks.a.pkl,1,homomer,78,78
53,1akh.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1akh.b.pkl,1,homomer,78,78
54,1e4u.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1e4u.a.pkl,1,homomer,78,78
55,1cks.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cks.b.pkl,1,homomer,78,78
56,1aoy.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1aoy.a.pkl,1,homomer,78,78
57,1dip.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dip.a.pkl,1,homomer,77,77
58,1g0u.e,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g0u.e.pkl,1,homomer,230,230
59,1eo0.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1eo0.a.pkl,1,homomer,77,77
60,1awj.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1awj.a.pkl,1,homomer,77,77
61,1ccd.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ccd.a.pkl,1,homomer,77,77
62,1c1y.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1c1y.b.pkl,1,homomer,77,77
63,1h75.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1h75.a.pkl,1,homomer,76,76
64,1ibt.c,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ibt.c.pkl,1,homomer,76,76
65,1ekz.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ekz.a.pkl,1,homomer,76,76
66,1dny.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dny.a.pkl,1,homomer,76,76
67,1du2.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1du2.a.pkl,1,homomer,76,76
68,1c01.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1c01.a.pkl,1,homomer,76,76
69,1f1j.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1f1j.a.pkl,1,homomer,230,230
70,1gyx.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gyx.a.pkl,1,homomer,76,76
71,1dgw.x,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dgw.x.pkl,1,homomer,76,76
72,1dp7.p,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dp7.p.pkl,1,homomer,76,76
73,1boc.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1boc.a.pkl,1,homomer,76,76
74,1e8o.d,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1e8o.d.pkl,1,homomer,76,76
75,1hyp.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hyp.a.pkl,1,homomer,75,75
76,1hlq.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hlq.a.pkl,1,homomer,75,75
77,1etk.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1etk.a.pkl,1,homomer,75,75
78,1ghc.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ghc.a.pkl,1,homomer,75,75
79,1h3o.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1h3o.b.pkl,1,homomer,74,74
80,1b54.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b54.a.pkl,1,homomer,230,230
81,1b34.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b34.b.pkl,1,homomer,74,74
82,1c7u.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1c7u.a.pkl,1,homomer,74,74
83,1apj.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1apj.a.pkl,1,homomer,74,74
84,1e8o.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1e8o.a.pkl,1,homomer,74,74
85,1bo9.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bo9.a.pkl,1,homomer,73,73
86,1dj7.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dj7.b.pkl,1,homomer,73,73
87,1dqc.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dqc.a.pkl,1,homomer,73,73
88,1i27.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1i27.a.pkl,1,homomer,73,73
89,1dt4.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dt4.a.pkl,1,homomer,73,73
90,1fvq.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fvq.a.pkl,1,homomer,72,72
91,1hxm.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hxm.b.pkl,1,homomer,230,230
92,1afi.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1afi.a.pkl,1,homomer,72,72
93,1eij.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1eij.a.pkl,1,homomer,72,72
94,1cc8.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cc8.a.pkl,1,homomer,72,72
95,1ah9.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ah9.a.pkl,1,homomer,71,71
96,1hpi.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hpi.a.pkl,1,homomer,71,71
97,1c75.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1c75.a.pkl,1,homomer,71,71
98,1gh9.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gh9.a.pkl,1,homomer,71,71
99,1baj.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1baj.a.pkl,1,homomer,71,71
100,1d3b.c,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1d3b.c.pkl,1,homomer,71,71
101,1b4b.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b4b.a.pkl,1,homomer,71,71
102,1h0m.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1h0m.a.pkl,1,homomer,230,230
103,1fvl.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fvl.a.pkl,1,homomer,70,70
104,1f3m.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1f3m.a.pkl,1,homomer,70,70
105,1g6z.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g6z.a.pkl,1,homomer,70,70
106,1g47.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g47.a.pkl,1,homomer,70,70
107,1b22.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b22.a.pkl,1,homomer,70,70
108,1ha6.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ha6.a.pkl,1,homomer,70,70
109,1ail.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ail.a.pkl,1,homomer,70,70
110,1dz1.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dz1.a.pkl,1,homomer,70,70
111,1b69.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b69.a.pkl,1,homomer,69,69
112,1doq.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1doq.a.pkl,1,homomer,69,69
113,1ig3.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ig3.a.pkl,1,homomer,254,254
114,1fj2.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fj2.a.pkl,1,homomer,229,229
115,1bct.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bct.a.pkl,1,homomer,69,69
116,1di2.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1di2.a.pkl,1,homomer,69,69
117,1g4d.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g4d.a.pkl,1,homomer,69,69
118,1eay.d,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1eay.d.pkl,1,homomer,69,69
119,1c48.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1c48.a.pkl,1,homomer,69,69
120,1dul.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dul.a.pkl,1,homomer,69,69
121,1dwm.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dwm.a.pkl,1,homomer,69,69
122,1bby.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bby.a.pkl,1,homomer,69,69
123,1cok.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cok.a.pkl,1,homomer,68,68
124,1hp8.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hp8.a.pkl,1,homomer,68,68
125,1hw7.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hw7.a.pkl,1,homomer,229,229
126,1chc.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1chc.a.pkl,1,homomer,68,68
127,1cm9.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cm9.a.pkl,1,homomer,68,68
128,1cpz.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cpz.a.pkl,1,homomer,68,68
129,1h0z.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1h0z.a.pkl,1,homomer,68,68
130,1ctf.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ctf.a.pkl,1,homomer,68,68
131,1a7w.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a7w.a.pkl,1,homomer,68,68
132,1hh5.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hh5.a.pkl,1,homomer,68,68
133,1b72.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b72.a.pkl,1,homomer,68,68
134,1fr3.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fr3.a.pkl,1,homomer,67,67
135,1cf7.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cf7.a.pkl,1,homomer,67,67
136,1g60.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g60.b.pkl,1,homomer,228,228
137,1a15.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a15.a.pkl,1,homomer,67,67
138,1gut.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gut.a.pkl,1,homomer,67,67
139,1bmr.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bmr.a.pkl,1,homomer,67,67
140,1b33.n,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b33.n.pkl,1,homomer,67,67
141,1i5j.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1i5j.a.pkl,1,homomer,67,67
142,1f02.t,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1f02.t.pkl,1,homomer,66,66
143,1icw.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1icw.b.pkl,1,homomer,66,66
144,1f9q.d,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1f9q.d.pkl,1,homomer,66,66
145,1azp.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1azp.a.pkl,1,homomer,66,66
146,1bcc.h,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bcc.h.pkl,1,homomer,66,66
147,1etz.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1etz.b.pkl,1,homomer,228,228
148,1bha.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bha.a.pkl,1,homomer,66,66
149,1bw5.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bw5.a.pkl,1,homomer,66,66
150,1ame.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ame.a.pkl,1,homomer,66,66
151,1c5a.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1c5a.a.pkl,1,homomer,65,65
152,1g25.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g25.a.pkl,1,homomer,65,65
153,1gjs.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gjs.a.pkl,1,homomer,65,65
154,1d1m.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1d1m.a.pkl,1,homomer,65,65
155,1icf.i,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1icf.i.pkl,1,homomer,65,65
156,1gu4.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gu4.a.pkl,1,homomer,65,65
157,1f4s.p,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1f4s.p.pkl,1,homomer,65,65
158,1b77.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b77.a.pkl,1,homomer,228,228
159,1fxr.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fxr.a.pkl,1,homomer,64,64
160,1gd2.f,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gd2.f.pkl,1,homomer,64,64
161,1f94.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1f94.a.pkl,1,homomer,63,63
162,1a0a.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a0a.a.pkl,1,homomer,63,63
163,1hae.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hae.a.pkl,1,homomer,63,63
164,1gcc.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gcc.a.pkl,1,homomer,63,63
165,1cse.i,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cse.i.pkl,1,homomer,63,63
166,1aiw.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1aiw.a.pkl,1,homomer,62,62
167,1hfi.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hfi.a.pkl,1,homomer,62,62
168,1g2b.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g2b.a.pkl,1,homomer,62,62
169,1hq6.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hq6.b.pkl,1,homomer,228,228
170,1fsc.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fsc.a.pkl,1,homomer,61,61
171,1dtd.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dtd.b.pkl,1,homomer,61,61
172,1e0b.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1e0b.a.pkl,1,homomer,61,61
173,1hvv.d,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hvv.d.pkl,1,homomer,61,61
174,1eai.c,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1eai.c.pkl,1,homomer,61,61
175,1hez.e,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hez.e.pkl,1,homomer,61,61
176,1g2h.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1g2h.a.pkl,1,homomer,61,61
177,1dem.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dem.a.pkl,1,homomer,60,60
178,1cb9.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cb9.a.pkl,1,homomer,60,60
179,1hi7.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hi7.a.pkl,1,homomer,60,60
180,1dyq.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dyq.a.pkl,1,homomer,228,228
181,1h7v.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1h7v.a.pkl,1,homomer,60,60
182,1a7i.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a7i.a.pkl,1,homomer,60,60
183,1d0d.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1d0d.a.pkl,1,homomer,60,60
184,1avo.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1avo.a.pkl,1,homomer,60,60
185,1gyz.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gyz.a.pkl,1,homomer,60,60
186,1hx2.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hx2.a.pkl,1,homomer,60,60
187,1fex.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fex.a.pkl,1,homomer,59,59
188,1gl2.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gl2.b.pkl,1,homomer,59,59
189,1gl2.c,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gl2.c.pkl,1,homomer,59,59
190,1hcc.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hcc.a.pkl,1,homomer,59,59
191,1cby.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cby.a.pkl,1,homomer,227,227
192,1i07.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1i07.a.pkl,1,homomer,59,59
193,1cee.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cee.b.pkl,1,homomer,59,59
194,1ev0.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ev0.a.pkl,1,homomer,58,58
195,1dl6.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dl6.a.pkl,1,homomer,58,58
196,1hyw.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1hyw.a.pkl,1,homomer,58,58
197,1got.g,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1got.g.pkl,1,homomer,58,58
198,1df4.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1df4.a.pkl,1,homomer,57,57
199,1h9f.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1h9f.a.pkl,1,homomer,57,57
200,1gbq.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gbq.a.pkl,1,homomer,57,57
201,1aal.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1aal.b.pkl,1,homomer,57,57
202,1a7t.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a7t.a.pkl,1,homomer,227,227
203,1bus.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bus.a.pkl,1,homomer,57,57
